Descrição,Categoria,Custo Previsto,Custo Real,Diferença
Aluguel,Moradia,"R$ 2.500,00","R$ 2.500,00","R$ 0,00"
Internet - Vivo,Moradia,"R$ 120,00","R$ 120,00","R$ 0,00"
Spotify,Entretenimento,"R$ 21,90","R$ 21,90","R$ 0,00"
Sofá - 2/6,Móveis,"R$ 500,00","R$ 500,00","R$ 0,00"
Academia,Saúde,"R$ 99,90","R$ 99,90","R$ 0,00"
Mercado,Alimentação,"R$ 1.200,00","R$ 1.100,00","-R$ 100,00"
Restaurante,Alimentação,"R$ 300,00","R$ 290,00","-R$ 10,00"
Gasolina,Transporte,"R$ 400,00","R$ 410,00","R$ 10,00"
ChatGPT Plus,Tecnologia,"$ 20.00","$ 20.00","$ 0.00"
Apple One,Tecnologia,"R$ 37,90","R$ 37,90","R$ 0,00"
Notebook - 1/12,Tecnologia,"R$ 350,00","R$ 350,00","R$ 0,00"
Farmácia,Saúde,"R$ 80,00","R$ 75,00","-R$ 5,00"
Energia Elétrica,Moradia,"R$ 180,00","R$ 195,00","R$ 15,00"
Água e Esgoto,Moradia,"R$ 60,00","R$ 60,00","R$ 0,00"
Dentista,Saúde,"R$ 250,00","R$ 250,00","R$ 0,00"
Cloud AWS,Tecnologia,"R$ 150,00","R$ 142,00","-R$ 8,00"
IPTU parcela 2/10,Impostos,"R$ 185,00","R$ 185,00","R$ 0,00"
MEI,Impostos,"R$ 70,60","R$ 70,60","R$ 0,00"
Gympass,Saúde,"R$ 49,90","R$ 49,90","R$ 0,00"
